alpha,V0,kz,tier,xi_sponge,n_pts,amp0_log,gamma_r2,r2,t0,t1,gamma_plateau,plateau_t0,plateau_t1,has_plateau,gamma_sim,src,gamma_chased,ratio,rel_err
1.4,0.03,2.0,int,11.0,101,-13.0905147241531,0.07122220644466208,0.9999397112892601,48.94748691060345,61.93355486647784,,,,False,0.07122220644466208,t126/ym_k2_a1.400_circ_az2seed_v0.0300_sp11.0_eps0.15_nkz0_nkz1to1_bp14_hd5e-05_recorr,0.0867717355497269,0.8207996070776555,0.17920039292234444
1.6,0.03,2.0,int,18.0,101,-13.157280511435214,0.08742431802076324,0.9999911266515069,86.90676247392858,99.89283042980296,0.08775072103400737,83.9099775610345,99.89283042980296,True,0.08775072103400737,abi/ym_k2_a1.600_circ_az2seed_v0.0300_sp18.0_eps0.15_nkz0_nkz1to1_bp14_hd5e-05_recorr,0.0963924688671579,0.9103483090047206,0.08965169099527937
1.7,0.03,2.0,int,14.0,101,-13.187592641829344,0.08630712709996731,0.9999835536644364,86.90676247392858,99.89283042980296,,,,False,0.08630712709996731,abi/ym_k2_a1.700_circ_az2seed_v0.0300_sp14.0_eps0.15_nkz0_nkz1to1_bp14_hd5e-05_recorr,0.0951914893575259,0.9066685234413113,0.09333147655868869
1.8,0.03,2.0,int,14.0,101,-13.216171759117266,0.087463140457488,0.9999919236894237,86.90676247392858,99.89283042980296,,,,False,0.087463140457488,t132/ym_k2_a1.800_circ_az2seed_v0.0300_sp14.0_eps0.15_nkz0_nkz1to1_bp14_hd5e-05_recorr,0.0965386549557471,0.9059908748219118,0.0940091251780882
1.9,0.03,2.0,int,14.0,101,-13.243205457028772,0.08864341820100616,0.9999931050987463,86.90676247392858,99.89283042980296,,,,False,0.08864341820100616,t130/ym_k2_a1.900_circ_az2seed_v0.0300_sp14.0_eps0.15_nkz0_nkz1to1_bp14_hd5e-05_recorr,0.0978063910493536,0.9063151932093706,0.09368480679062943
2.0,0.03,2.0,int,14.0,101,-13.268851971643606,0.08977105495596274,0.9999932826239107,85.90783416963055,98.89390212550494,0.09039089415471696,80.9131926481404,99.89283042980296,True,0.09039089415471696,t140/ym_k2_a2.000_circ_az2seed_v0.0300_sp14.0_eps0.15_nkz0_nkz1to1_bp14_hd5e-05_recorr,0.0990013163074377,0.9130271952548386,0.08697280474516142
2.1,0.03,2.0,int,10.0,101,-13.293246978225563,0.08605328194487877,0.9999787315142998,86.90676247392858,99.89283042980296,0.08579671519769565,88.90461908252463,99.89283042980296,True,0.08579671519769565,t133/ym_k2_a2.100_circ_az2seed_v0.0300_sp10.0_eps0.15_nkz0_nkz1to1_bp14_hd5e-05_recorr,0.0946167114143854,0.9067818349967639,0.09321816500323606
2.2,0.03,2.0,int,10.0,101,-13.3165074149101,0.08693816535522321,0.9999860522097331,86.90676247392858,99.89283042980296,0.08682249454540981,87.90569077822661,99.89283042980296,True,0.08682249454540981,t140/ym_k2_a2.200_circ_az2seed_v0.0300_sp10.0_eps0.15_nkz0_nkz1to1_bp14_hd5e-05_recorr,0.0957330212898818,0.906923163769263,0.093076836230737
2.3,0.03,2.0,int,10.0,101,-13.33873307704747,0.08781416782155264,0.9999915820858859,86.90676247392858,99.89283042980296,0.08764228087468928,88.90461908252463,99.89283042980296,True,0.08764228087468928,t130/ym_k2_a2.300_circ_az2seed_v0.0300_sp10.0_eps0.15_nkz0_nkz1to1_bp14_hd5e-05_recorr,0.0967969490278925,0.9054240010130354,0.09457599898696453
2.4,0.03,2.0,int,10.0,101,-13.360012846568738,0.0886853139775974,0.9999952727506286,86.90676247392858,99.89283042980296,0.0886853139775974,86.90676247392858,99.89283042980296,True,0.0886853139775974,abi/ym_k2_a2.400_circ_az2seed_v0.0300_sp10.0_eps0.15_nkz0_nkz1to1_bp14_hd5e-05_recorr,0.0978120680822039,0.9066909198061722,0.09330908019382776
2.5,0.03,2.0,int,10.0,101,-13.380423853310917,0.08955690568891175,0.9999972397920937,86.90676247392858,99.89283042980296,0.08950382549197199,87.90569077822661,99.89283042980296,True,0.08950382549197199,t130/ym_k2_a2.500_circ_az2seed_v0.0300_sp10.0_eps0.15_nkz0_nkz1to1_bp14_hd5e-05_recorr,0.0987815447125088,0.9060784152795095,0.09392158472049049
2.6,0.03,2.0,int,10.0,101,-13.400034263795455,0.0904157645319893,0.9999972972587221,86.90676247392858,99.89283042980296,0.09046598105432756,85.90783416963055,99.89283042980296,True,0.09046598105432756,abi/ym_k2_a2.600_circ_az2seed_v0.0300_sp10.0_eps0.15_nkz0_nkz1to1_bp14_hd5e-05_recorr,0.0997081982261929,0.907307349482949,0.09269265051705096
2.7,0.03,2.0,int,8.0,101,-13.418904441294972,0.08658739353244116,0.999983789086217,86.90676247392858,99.89283042980296,0.08646576504909426,87.90569077822661,99.89283042980296,True,0.08646576504909426,t132/ym_k2_a2.700_circ_az2seed_v0.0300_sp8.0_eps0.15_nkz0_nkz1to1_bp14_hd5e-05_recorr,0.095343504541272,0.9068867928141369,0.0931132071858631
