kz,alpha,V0,eps,xi_sponge,gamma_chased
0.5,1.6,0.03,0.15,8.0,0.035279557820781945
0.5,1.6,0.1,0.15,11.0,0.20888368601795443
2.0,2.3,0.2,0.15,8.0,0.597123309569797
2.0,2.8,0.1,0.15,8.0,0.19711184990508968
2.0,2.8,0.2,0.15,8.0,0.2529203159324605
3.0,0.4,0.1,0.15,9.0,0.12480958532337859
1.5,1.3,0.03,0.15,14.0,0.07993775620752125
3.0,1.3,0.03,0.15,9.0,0.09132583508761319
1.5,1.3,0.1,0.15,8.0,0.15409426527542164
1.5,1.4,0.05,0.15,8.0,0.09987694767831484
3.0,0.9,0.2,0.15,8.0,0.26333290446421864
3.0,1.0,0.2,0.15,8.0,0.2753964178645544
1.5,1.0,0.2,0.15,8.0,0.21254690633526227
3.0,1.1,0.2,0.15,8.0,0.28625082498416277
1.5,1.1,0.2,0.15,8.0,0.20960575896685074
1.5,1.2,0.01,0.15,22.0,0.03858068801736576
3.0,1.2,0.03,0.15,10.0,0.09090512857221528
1.5,1.3,0.01,0.15,22.0,0.03934974831642655
3.0,2.2,0.01,0.15,22.0,0.0545881531323479
3.0,2.3,0.1,0.15,8.0,0.2366369719907398
3.0,2.3,0.2,0.15,8.0,0.33200283677005404
1.5,2.5,0.1,0.15,8.0,0.14906060589754971
1.5,3.0,0.03,0.15,8.0,0.0841943225389945
