alpha,V0,EPS,xi_w,window_type,window_safe,ceiling,P,kz_peak,gamma_peak,kz_hat,gamma_hat
0.25,0.03,0.15,8.0,xi_sponge,True,0.06082201995573401,0.4054801330382268,2.4693043587596395,0.05597294048768634,1.2179656449539764,0.9202742777767524
0.25,0.03,0.225,8.0,xi_sponge,True,0.06082201995573401,0.27032008869215113,2.3476986404714397,0.057782705243815055,1.1579845468039789,0.9500293690651682
0.25,0.03,0.3,8.0,xi_sponge,True,0.06082201995573401,0.2027400665191134,2.590910077047839,0.05948089287941212,1.2779467431039737,0.9779499747410896
0.25,0.03,0.45,8.0,xi_sponge,True,0.06082201995573401,0.13516004434607556,2.1348886334670913,0.06030125726823954,1.0530176250414836,0.991437925148269
0.25,0.05,0.1,8.0,xi_sponge,True,0.08549879733383486,0.8549879733383486,2.289150565765579,0.07346784832343721,1.3387033719477144,0.8592851667442509
0.25,0.05,0.15,8.0,xi_sponge,True,0.08549879733383486,0.5699919822255658,2.1532071947145406,0.07741193563267464,1.2592032062785763,0.9054154917573329
0.25,0.05,0.225,8.0,xi_sponge,True,0.08549879733383486,0.3799946548170438,2.0444524978737095,0.08033536321528147,1.195603073743266,0.9396081081890254
0.25,0.05,0.3,8.0,xi_sponge,True,0.08549879733383486,0.2849959911127829,2.3979052626064097,0.08272644029610128,1.4023035044830248,0.9675743153800309
0.25,0.05,0.45,8.0,xi_sponge,True,0.08549879733383486,0.1899973274085219,1.8813204526124632,0.08454792516993154,1.1002028749403001,0.9888785317038953
0.25,0.1,0.1,5.0,xi_cut,True,0.13572088082974534,1.3572088082974534,2.052930175395406,0.09858300901223069,1.512611886133202,0.7263658208636138
0.25,0.1,0.15,5.0,xi_cut,True,0.13572088082974534,0.9048058721983023,1.94990559394424,0.1077683242110758,1.4367027254931344,0.7940438018985851
0.25,0.1,0.225,5.0,xi_cut,True,0.13572088082974534,0.6032039147988681,1.846881012493074,0.11557906893854689,1.360793564853067,0.8515938611062708
0.25,0.1,0.3,5.0,xi_cut,True,0.13572088082974534,0.45240293609915117,1.7696125764046995,0.12017395382395256,1.3038616943730164,0.885449262407193
0.25,0.1,0.45,5.0,xi_cut,True,0.13572088082974534,0.3016019573994341,1.6665879949535334,0.12530696349025794,1.2279525337329487,0.9232696009941822
0.3,0.03,0.1,8.0,xi_sponge,True,0.06463304070095652,0.6463304070095651,2.7828173893958423,0.057275152715728604,1.2916694120603205,0.8861590309626416
0.3,0.03,0.15,8.0,xi_sponge,True,0.06463304070095652,0.4308869380063768,2.6245163025586025,0.059820559731403634,1.2181925563590705,0.9255414735658312
0.3,0.03,0.225,8.0,xi_sponge,True,0.06463304070095652,0.28725795867091786,2.49787543308881,0.061639617233950575,1.1594110717980706,0.9536858635375692
0.3,0.03,0.3,8.0,xi_sponge,True,0.06463304070095652,0.2154434690031884,2.371234563619018,0.06366730892292828,1.1006295872370704,0.9850582338761305
